t,input,nw
335,0,1.4988037709720459
336,0,1.7555720103088106
337,0,1.9782621384761256
338,0,2.159419966703595
339,0,2.2975019535014454
340,0,2.3945914004063695
341,0,2.4547706232195736
342,0,2.4830030930852516
343,0,2.4844030045235286
344,0,2.463791707216359
345,0,2.425460101893279
346,0,2.373073165101573
347,0,2.3096672828855915
348,0,2.237703241813122
349,0,2.1591477876841623
350,1,2.3236772494545335
351,1,2.364373789977634
352,1,2.3161663522108427
353,1,2.2060546626371575
354,1,2.054589093879386
355,1,1.8771767160152422
356,1,1.6852049776704803
357,1,1.4869744921241477
358,1,1.2884478673105662
359,1,1.093834445115391
360,0,1.3697760347508847
361,0,1.6284433150435973
362,0,1.8526986124858524
363,0,2.0347391126246634
364,0,2.1729056440167085
365,0,2.2693283501196717
366,0,2.328241415178482
367,0,2.354820378467707
368,0,2.3544180090803835
369,0,2.3320963144069466
370,0,2.2923719344828584
371,0,2.2391094527636284
372,0,2.175511951037393
373,0,2.1041705797895744
374,0,2.0271452114493087
375,0,1.9460566115171503
376,1,2.1242318489090124
377,1,2.1815863534790836
378,1,2.1522734517076074
379,1,2.0626461587286187
380,1,1.9326974315824401
381,1,1.777347022581523
382,1,1.6075570841082225
383,1,1.4312619213976916
384,1,1.2541153303785393
385,1,1.0800736239789899
386,0,1.3782711497367472
387,0,1.6550716807691401
388,0,1.8941210509483426
389,0,2.088298755176453
390,0,2.2365297397262154
391,0,2.3414360885247163
392,0,2.407659168732984
393,0,2.4407048226319574
394,0,2.446187049611325
395,0,2.429367499268018
396,0,2.394907954601237
397,0,2.3467703652259075
398,0,2.288213828923787
399,0,2.2218503598773864
400,1,2.3916309518290007
401,1,2.440703945654249
402,1,2.4033271607363176
403,1,2.305714097234521
404,1,2.1676263939944533
405,1,2.003749179788599
406,1,1.8248514573789976
407,1,1.6387332271882116
408,1,1.450974382682361
409,1,1.265511080046437
410,0,1.539707702872974
411,0,1.7961354471187434
412,0,2.0183340923066595
413,0,2.1988651981664162
414,0,2.3362013095368894
415,0,2.4324409915916974
416,0,2.491680316344329
417,0,2.518894699973714
418,0,2.5192084493874844
419,0,2.4974513641324805
420,0,2.4579214174391097
421,0,2.4042896205993074
422,0,2.3395977053848114
423,0,2.266311440959605
424,0,2.1864024746672754
425,1,2.3471670016359596
426,1,2.384297214030063
427,1,2.3327239051990745
428,1,2.2194458854471577
429,1,2.0650105635612164
430,1,1.8848206608042517
431,1,1.690258459960404
432,1,1.489619034873769
433,1,1.2888593923672715
434,1,1.092183404232614
435,0,1.3685956597215778
436,0,1.6275719416534145
437,0,1.8520251416817644
438,0,2.0341931310924792
439,0,2.1724485574636105
440,0,2.2689456412746125
441,0,2.3279360748409488
442,0,2.3546074952705425
443,0,2.354320451553164
444,0,2.332141401482218
445,0,2.29258896794515
446,0,2.2395279753498727
447,0,2.1761605941817024
448,0,2.1050763725471313
449,0,2.0283332344442044
450,1,2.2018620714952277
451,1,2.254077795601617
452,1,2.2194075508166478
453,1,2.1243579936445016
454,1,1.9890097518155585
455,1,1.8283354587066185
456,1,1.6533319651504996
457,1,1.4719582225337717
458,1,1.289886192739786
459,1,1.111085215925911
460,0,1.3966933028224133
461,0,1.6638558929675753
462,0,1.8957674826168045
463,0,2.084868416207854
464,0,2.2296678244546655
465,0,2.332403685695965
466,0,2.3973708179210007
467,0,2.4297697120804074
468,0,2.434952019608666
469,0,2.4179603691729668
470,0,2.383279989835124
471,0,2.334736933156968
472,0,2.275492472161581
473,0,2.208095663564272
474,0,2.1345663134825585
475,1,2.307782651907189
